radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
2,29,3,0.0882352941176471,1.17241379310345,1
3,26,3,0.0882352941176471,1.30769230769231,1
4,25,4,0.117647058823529,1.36,1
5,25,4,0.117647058823529,1.36,1
6,25,4,0.117647058823529,1.36,1
7,25,4,0.117647058823529,1.36,1
8,25,4,0.117647058823529,1.36,1
9,25,4,0.117647058823529,1.36,1
10,24,4,0.117647058823529,1.41666666666667,1
11,24,4,0.117647058823529,1.41666666666667,1
12,24,4,0.117647058823529,1.41666666666667,1
13,24,4,0.117647058823529,1.41666666666667,1
14,24,4,0.117647058823529,1.41666666666667,1
15,24,4,0.117647058823529,1.41666666666667,1
16,24,4,0.117647058823529,1.41666666666667,1
17,24,4,0.117647058823529,1.41666666666667,1
18,24,4,0.117647058823529,1.41666666666667,1
19,24,4,0.117647058823529,1.41666666666667,1
20,24,4,0.117647058823529,1.41666666666667,1
21,24,4,0.117647058823529,1.41666666666667,1
22,23,4,0.117647058823529,1.47826086956522,1
23,23,4,0.117647058823529,1.47826086956522,1
24,23,4,0.117647058823529,1.47826086956522,1
25,23,4,0.117647058823529,1.47826086956522,1
26,23,4,0.117647058823529,1.47826086956522,1
27,23,4,0.117647058823529,1.47826086956522,1
28,23,4,0.117647058823529,1.47826086956522,1
29,23,4,0.117647058823529,1.47826086956522,1
30,22,4,0.117647058823529,1.54545454545455,1
31,22,4,0.117647058823529,1.54545454545455,1
32,22,4,0.117647058823529,1.54545454545455,1
33,22,4,0.117647058823529,1.54545454545455,1
34,22,4,0.117647058823529,1.54545454545455,1
35,22,4,0.117647058823529,1.54545454545455,1
36,22,4,0.117647058823529,1.54545454545455,1
37,22,4,0.117647058823529,1.54545454545455,1
38,22,4,0.117647058823529,1.54545454545455,1
39,22,4,0.117647058823529,1.54545454545455,1
40,21,4,0.117647058823529,1.61904761904762,1
41,20,4,0.117647058823529,1.7,1
42,19,5,0.147058823529412,1.78947368421053,1
43,17,5,0.147058823529412,2,1
44,17,5,0.147058823529412,2,1
45,17,5,0.147058823529412,2,1
46,17,5,0.147058823529412,2,1
47,16,9,0.264705882352941,2.125,1
48,16,9,0.264705882352941,2.125,1
49,15,9,0.264705882352941,2.26666666666667,1
50,15,9,0.264705882352941,2.26666666666667,1
51,15,9,0.264705882352941,2.26666666666667,1
52,15,9,0.264705882352941,2.26666666666667,1
53,15,9,0.264705882352941,2.26666666666667,1
54,14,9,0.264705882352941,2.42857142857143,1
55,14,9,0.264705882352941,2.42857142857143,1
56,14,9,0.264705882352941,2.42857142857143,1
57,14,9,0.264705882352941,2.42857142857143,1
58,14,9,0.264705882352941,2.42857142857143,1
59,14,9,0.264705882352941,2.42857142857143,1
60,13,10,0.294117647058824,2.61538461538462,1
61,13,10,0.294117647058824,2.61538461538462,1
62,13,10,0.294117647058824,2.61538461538462,1
63,13,10,0.294117647058824,2.61538461538462,1
64,13,10,0.294117647058824,2.61538461538462,1
65,13,10,0.294117647058824,2.61538461538462,1
66,13,10,0.294117647058824,2.61538461538462,1
67,13,10,0.294117647058824,2.61538461538462,1
68,13,10,0.294117647058824,2.61538461538462,1
69,13,10,0.294117647058824,2.61538461538462,1
70,13,10,0.294117647058824,2.61538461538462,1
71,13,10,0.294117647058824,2.61538461538462,1
72,13,10,0.294117647058824,2.61538461538462,1
73,13,10,0.294117647058824,2.61538461538462,1
74,13,10,0.294117647058824,2.61538461538462,1
75,13,10,0.294117647058824,2.61538461538462,1
76,13,10,0.294117647058824,2.61538461538462,1
77,13,10,0.294117647058824,2.61538461538462,1
78,13,10,0.294117647058824,2.61538461538462,1
79,13,10,0.294117647058824,2.61538461538462,1
80,13,10,0.294117647058824,2.61538461538462,1
81,13,10,0.294117647058824,2.61538461538462,1
82,13,10,0.294117647058824,2.61538461538462,1
83,13,10,0.294117647058824,2.61538461538462,1
84,13,10,0.294117647058824,2.61538461538462,1
85,13,10,0.294117647058824,2.61538461538462,1
86,13,10,0.294117647058824,2.61538461538462,1
87,13,10,0.294117647058824,2.61538461538462,1
88,13,10,0.294117647058824,2.61538461538462,1
89,13,10,0.294117647058824,2.61538461538462,1
90,13,10,0.294117647058824,2.61538461538462,1
91,13,10,0.294117647058824,2.61538461538462,1
92,13,10,0.294117647058824,2.61538461538462,1
93,13,10,0.294117647058824,2.61538461538462,1
94,13,10,0.294117647058824,2.61538461538462,1
95,13,10,0.294117647058824,2.61538461538462,1
96,13,10,0.294117647058824,2.61538461538462,1
97,13,10,0.294117647058824,2.61538461538462,1
98,13,10,0.294117647058824,2.61538461538462,1
99,13,10,0.294117647058824,2.61538461538462,1
100,13,10,0.294117647058824,2.61538461538462,1
101,13,10,0.294117647058824,2.61538461538462,1
102,13,10,0.294117647058824,2.61538461538462,1
103,13,10,0.294117647058824,2.61538461538462,1
104,13,10,0.294117647058824,2.61538461538462,1
105,13,10,0.294117647058824,2.61538461538462,1
106,13,10,0.294117647058824,2.61538461538462,1
107,13,10,0.294117647058824,2.61538461538462,1
108,13,10,0.294117647058824,2.61538461538462,1
109,13,10,0.294117647058824,2.61538461538462,1
110,13,10,0.294117647058824,2.61538461538462,1
111,13,10,0.294117647058824,2.61538461538462,1
112,13,10,0.294117647058824,2.61538461538462,1
113,13,10,0.294117647058824,2.61538461538462,1
114,13,10,0.294117647058824,2.61538461538462,1
115,12,10,0.294117647058824,2.83333333333333,1.5
116,12,10,0.294117647058824,2.83333333333333,1.5
117,12,10,0.294117647058824,2.83333333333333,1.5
118,12,10,0.294117647058824,2.83333333333333,1.5
119,12,10,0.294117647058824,2.83333333333333,1.5
120,12,10,0.294117647058824,2.83333333333333,1.5
121,12,10,0.294117647058824,2.83333333333333,1.5
122,12,10,0.294117647058824,2.83333333333333,1.5
123,12,10,0.294117647058824,2.83333333333333,1.5
124,12,10,0.294117647058824,2.83333333333333,1.5
125,12,10,0.294117647058824,2.83333333333333,1.5
126,12,10,0.294117647058824,2.83333333333333,1.5
127,12,10,0.294117647058824,2.83333333333333,1.5
128,12,10,0.294117647058824,2.83333333333333,1.5
129,12,10,0.294117647058824,2.83333333333333,1.5
130,12,10,0.294117647058824,2.83333333333333,1.5
131,12,10,0.294117647058824,2.83333333333333,1.5
132,10,14,0.411764705882353,3.4,1.5
133,10,14,0.411764705882353,3.4,1.5
134,10,14,0.411764705882353,3.4,1.5
135,10,14,0.411764705882353,3.4,1.5
136,10,14,0.411764705882353,3.4,1.5
137,10,14,0.411764705882353,3.4,1.5
138,10,14,0.411764705882353,3.4,1.5
139,10,14,0.411764705882353,3.4,1.5
140,10,14,0.411764705882353,3.4,1.5
141,10,14,0.411764705882353,3.4,1.5
142,10,14,0.411764705882353,3.4,1.5
143,10,14,0.411764705882353,3.4,1.5
144,10,14,0.411764705882353,3.4,1.5
145,10,14,0.411764705882353,3.4,1.5
146,10,14,0.411764705882353,3.4,1.5
147,10,14,0.411764705882353,3.4,1.5
148,10,14,0.411764705882353,3.4,1.5
149,10,14,0.411764705882353,3.4,1.5
150,10,14,0.411764705882353,3.4,1.5
151,10,14,0.411764705882353,3.4,1.5
152,10,14,0.411764705882353,3.4,1.5
153,10,14,0.411764705882353,3.4,1.5
154,10,14,0.411764705882353,3.4,1.5
155,10,14,0.411764705882353,3.4,1.5
156,10,14,0.411764705882353,3.4,1.5
157,10,14,0.411764705882353,3.4,1.5
158,10,14,0.411764705882353,3.4,1.5
159,9,14,0.411764705882353,3.77777777777778,1
160,9,14,0.411764705882353,3.77777777777778,1
161,9,14,0.411764705882353,3.77777777777778,1
162,9,14,0.411764705882353,3.77777777777778,1
163,9,14,0.411764705882353,3.77777777777778,1
164,9,14,0.411764705882353,3.77777777777778,1
165,9,14,0.411764705882353,3.77777777777778,1
166,9,14,0.411764705882353,3.77777777777778,1
167,9,14,0.411764705882353,3.77777777777778,1
168,9,14,0.411764705882353,3.77777777777778,1
169,9,14,0.411764705882353,3.77777777777778,1
170,9,14,0.411764705882353,3.77777777777778,1
171,9,14,0.411764705882353,3.77777777777778,1
172,9,14,0.411764705882353,3.77777777777778,1
173,9,14,0.411764705882353,3.77777777777778,1
174,9,14,0.411764705882353,3.77777777777778,1
175,9,14,0.411764705882353,3.77777777777778,1
176,9,14,0.411764705882353,3.77777777777778,1
177,9,14,0.411764705882353,3.77777777777778,1
178,9,14,0.411764705882353,3.77777777777778,1
179,9,14,0.411764705882353,3.77777777777778,1
180,9,14,0.411764705882353,3.77777777777778,1
181,9,14,0.411764705882353,3.77777777777778,1
182,9,14,0.411764705882353,3.77777777777778,1
183,9,14,0.411764705882353,3.77777777777778,1
184,9,14,0.411764705882353,3.77777777777778,1
185,9,14,0.411764705882353,3.77777777777778,1
186,9,14,0.411764705882353,3.77777777777778,1
187,9,14,0.411764705882353,3.77777777777778,1
188,9,14,0.411764705882353,3.77777777777778,1
189,9,14,0.411764705882353,3.77777777777778,1
190,9,14,0.411764705882353,3.77777777777778,1
191,9,14,0.411764705882353,3.77777777777778,1
192,9,14,0.411764705882353,3.77777777777778,1
193,9,14,0.411764705882353,3.77777777777778,1
194,9,14,0.411764705882353,3.77777777777778,1
195,9,14,0.411764705882353,3.77777777777778,1
196,9,14,0.411764705882353,3.77777777777778,1
197,9,14,0.411764705882353,3.77777777777778,1
198,9,14,0.411764705882353,3.77777777777778,1
199,9,14,0.411764705882353,3.77777777777778,1
200,9,14,0.411764705882353,3.77777777777778,1
201,9,14,0.411764705882353,3.77777777777778,1
202,9,14,0.411764705882353,3.77777777777778,1
203,9,14,0.411764705882353,3.77777777777778,1
204,9,14,0.411764705882353,3.77777777777778,1
205,9,14,0.411764705882353,3.77777777777778,1
206,9,14,0.411764705882353,3.77777777777778,1
207,9,14,0.411764705882353,3.77777777777778,1
208,9,14,0.411764705882353,3.77777777777778,1
209,9,14,0.411764705882353,3.77777777777778,1
210,9,14,0.411764705882353,3.77777777777778,1
211,9,14,0.411764705882353,3.77777777777778,1
212,9,14,0.411764705882353,3.77777777777778,1
213,9,14,0.411764705882353,3.77777777777778,1
214,9,14,0.411764705882353,3.77777777777778,1
215,9,14,0.411764705882353,3.77777777777778,1
216,9,14,0.411764705882353,3.77777777777778,1
217,9,14,0.411764705882353,3.77777777777778,1
218,9,14,0.411764705882353,3.77777777777778,1
219,9,14,0.411764705882353,3.77777777777778,1
220,9,14,0.411764705882353,3.77777777777778,1
221,9,14,0.411764705882353,3.77777777777778,1
222,9,14,0.411764705882353,3.77777777777778,1
223,9,14,0.411764705882353,3.77777777777778,1
224,9,14,0.411764705882353,3.77777777777778,1
225,9,14,0.411764705882353,3.77777777777778,1
226,9,14,0.411764705882353,3.77777777777778,1
227,9,14,0.411764705882353,3.77777777777778,1
228,9,14,0.411764705882353,3.77777777777778,1
229,9,14,0.411764705882353,3.77777777777778,1
230,9,14,0.411764705882353,3.77777777777778,1
231,9,14,0.411764705882353,3.77777777777778,1
232,9,14,0.411764705882353,3.77777777777778,1
233,9,14,0.411764705882353,3.77777777777778,1
234,9,14,0.411764705882353,3.77777777777778,1
235,9,14,0.411764705882353,3.77777777777778,1
236,9,14,0.411764705882353,3.77777777777778,1
237,9,14,0.411764705882353,3.77777777777778,1
238,9,14,0.411764705882353,3.77777777777778,1
239,9,14,0.411764705882353,3.77777777777778,1
240,9,14,0.411764705882353,3.77777777777778,1
241,9,14,0.411764705882353,3.77777777777778,1
242,9,14,0.411764705882353,3.77777777777778,1
243,9,14,0.411764705882353,3.77777777777778,1
244,9,14,0.411764705882353,3.77777777777778,1
245,9,14,0.411764705882353,3.77777777777778,1
246,9,14,0.411764705882353,3.77777777777778,1
247,9,14,0.411764705882353,3.77777777777778,1
248,9,14,0.411764705882353,3.77777777777778,1
249,9,14,0.411764705882353,3.77777777777778,1
250,9,14,0.411764705882353,3.77777777777778,1
251,9,14,0.411764705882353,3.77777777777778,1
252,9,14,0.411764705882353,3.77777777777778,1
253,9,14,0.411764705882353,3.77777777777778,1
254,9,14,0.411764705882353,3.77777777777778,1
255,9,14,0.411764705882353,3.77777777777778,1
256,9,14,0.411764705882353,3.77777777777778,1
257,9,14,0.411764705882353,3.77777777777778,1
258,9,14,0.411764705882353,3.77777777777778,1
259,9,14,0.411764705882353,3.77777777777778,1
260,9,14,0.411764705882353,3.77777777777778,1
261,9,14,0.411764705882353,3.77777777777778,1
262,9,14,0.411764705882353,3.77777777777778,1
263,9,14,0.411764705882353,3.77777777777778,1
264,9,14,0.411764705882353,3.77777777777778,1
265,9,14,0.411764705882353,3.77777777777778,1
266,9,14,0.411764705882353,3.77777777777778,1
267,9,14,0.411764705882353,3.77777777777778,1
268,9,14,0.411764705882353,3.77777777777778,1
269,9,14,0.411764705882353,3.77777777777778,1
270,9,14,0.411764705882353,3.77777777777778,1
271,9,14,0.411764705882353,3.77777777777778,1
272,9,14,0.411764705882353,3.77777777777778,1
273,9,14,0.411764705882353,3.77777777777778,1
274,9,14,0.411764705882353,3.77777777777778,1
275,9,14,0.411764705882353,3.77777777777778,1
276,9,14,0.411764705882353,3.77777777777778,1
277,9,14,0.411764705882353,3.77777777777778,1
278,9,14,0.411764705882353,3.77777777777778,1
279,9,14,0.411764705882353,3.77777777777778,1
280,9,14,0.411764705882353,3.77777777777778,1
281,9,14,0.411764705882353,3.77777777777778,1
282,9,14,0.411764705882353,3.77777777777778,1
283,9,14,0.411764705882353,3.77777777777778,1
284,9,14,0.411764705882353,3.77777777777778,1
285,9,14,0.411764705882353,3.77777777777778,1
286,9,14,0.411764705882353,3.77777777777778,1
287,9,14,0.411764705882353,3.77777777777778,1
288,9,14,0.411764705882353,3.77777777777778,1
289,9,14,0.411764705882353,3.77777777777778,1
290,9,14,0.411764705882353,3.77777777777778,1
291,9,14,0.411764705882353,3.77777777777778,1
292,9,14,0.411764705882353,3.77777777777778,1
